Number,First Prime
3,0
5,0
7,0
11,0
13,0
17,0
19,0
15,5
23,0
29,0
21,7
31,0
37,0
41,0
33,11
43,0
39,13
47,0
53,0
45,5
59,0
51,17
61,0
55,11
67,0
71,0
63,7
73,0
69,23
79,0
83,0
75,1
89,0
97,0
85,17
101,0
91,13
103,0
99,11
107,0
109,0
113,0
127,0
111,37
131,0
115,23
137,0
129,43
139,0
133,19
149,0
151,0
141,47
157,0
163,0
153,17
167,0
159,53
173,0
179,0
171,19
181,0
175,7
191,0
193,0
183,61
197,0
199,0
211,0
223,0
201,67
227,0
213,71
229,0
225,1
233,0
239,0
241,0
235,47
251,0
257,0
245,1
263,0
253,23
269,0
259,37
271,0
265,53
277,0
281,0
275,11
283,0
279,31
293,0
307,0
287,41
311,0
295,59
313,0
309,103
317,0
331,0
337,0
319,29
347,0
333,37
349,0
339,113
353,0
359,0
351,13
367,0
355,71
373,0
363,1
379,0
369,41
383,0
375,1
389,0
381,127
397,0
387,43
401,0
391,23
409,0
419,0
403,31
421,0
411,137
431,0
433,0
423,47
439,0
443,0
437,23
449,0
441,1
457,0
445,89
461,0
451,41
463,0
459,17
467,0
479,0
487,0
469,67
491,0
481,37
499,0
489,163
503,0
493,29
509,0
501,167
521,0
505,101
523,0
511,73
541,0
547,0
527,31
557,0
543,181
563,0
549,61
569,0
559,43
571,0
565,113
577,0
587,0
573,191
593,0
579,193
599,0
589,31
601,0
597,199
607,0
613,0
603,67
617,0
611,47
619,0
631,0
641,0
621,23
643,0
633,211
647,0
653,0
659,0
649,59
661,0
655,131
673,0
677,0
667,29
683,0
675,1
691,0
679,97
701,0
685,137
709,0
695,139
719,0
703,37
727,0
711,79
733,0
721,103
739,0
731,43
743,0
737,67
751,0
757,0
745,149
761,0
753,251
769,0
773,0
763,109
787,0
771,257
797,0
775,31
809,0
789,263
811,0
799,47
821,0
823,0
813,271
827,0
829,0
839,0
853,0
831,277
857,0
843,281
859,0
863,0
877,0
881,0
865,173
883,0
879,293
887,0
907,0
911,0
889,127
919,0
909,101
929,0
913,83
937,0
921,307
941,0
931,19
947,0
939,313
953,0
943,41
967,0
949,73
971,0
955,191
977,0
983,0
973,139
991,0
979,89
997,0
985,197
1009,0
993,331
1013,0
999,37
1019,0
1011,337
1021,0
1017,113
1031,0
1033,0
1025,41
1039,0
1049,0
1037,61
1051,0
1041,347
1061,0
1063,0
1053,13
1069,0
1087,0
1067,97
1091,0
1073,37
1093,0
1089,1
1097,0
1103,0
1109,0
1099,157
1117,0
1107,41
1123,0
1111,101
1129,0
1119,373
1151,0
1125,1
1153,0
1133,103
1163,0
1171,0
1157,89
1181,0
1165,233
1187,0
1175,47
1193,0
1183,1
1201,0
1189,41
1213,0
1195,239
1217,0
1203,401
1223,0
1215,5
1229,0
1219,53
1231,0
1225,1
1237,0
1249,0
1233,137
1259,0
1241,73
1277,0
1251,139
1279,0
1261,97
1283,0
1289,0
1291,0
1285,257
1297,0
1301,0
1293,431
1303,0
1299,433
1307,0
1319,0
1321,0
1313,101
1327,0
1361,0
1323,1
1367,0
1329,443
1373,0
1363,47
1381,0
1371,457
1399,0
1375,11
1409,0
1383,461
1423,0
1401,467
1427,0
1411,83
1429,0
1433,0
1439,0
1431,53
1447,0
1437,479
1451,0
1441,131
1453,0
1459,0
1471,0
1457,47
1481,0
1461,487
1483,0
1473,491
1487,0
1489,0
1493,0
1499,0
1511,0
1497,499
1523,0
1501,79
1531,0
1513,89
1543,0
1525,61
1549,0
1535,307
1553,0
1559,0
1567,0
1555,311
1571,0
1561,223
1579,0
1569,523
1583,0
1573,13
1597,0
1601,0
1585,317
1607,0
1609,0
1603,229
1613,0
1619,0
1611,179
1621,0
1627,0
1637,0
1623,541
1657,0
1629,181
1663,0
1639,149
1667,0
1661,151
1669,0
1693,0
1697,0
1671,557
1699,0
1709,0
1721,0
1701,7
1723,0
1711,59
1733,0
1741,0
1727,157
1747,0
1735,347
1753,0
1745,349
1759,0
1751,103
1777,0
1757,251
1783,0
1761,587
1787,0
1779,593
1789,0
1801,0
1811,0
1791,199
1823,0
1803,601
1831,0
1813,37
1847,0
1825,73
1861,0
1835,367
1867,0
1851,617
1871,0
1863,23
1873,0
1877,0
1879,0
1875,1
1889,0
1901,0
1883,269
1907,0
1891,61
1913,0
1903,173
1931,0
1909,83
1933,0
1915,383
1949,0
1951,0
1937,149
1973,0
1979,0
1957,103
1987,0
1975,79
1993,0
1981,283
1997,0
1991,181
1999,0
2003,0
2011,0
2017,0
2005,401
2027,0
2029,0
2019,673
2039,0
2053,0
2031,677
2063,0
2041,157
2069,0
2057,17
2081,0
2083,0
2071,109
2087,0
2089,0
2099,0
2111,0
2095,419
2113,0
2101,191
2129,0
2131,0
2117,73
2137,0
2141,0
2133,79
2143,0
2153,0
2161,0
2147,113
2179,0
2155,431
2203,0
2165,433
2207,0
2181,727
2213,0
2221,0
2237,0
2215,443
2239,0
2225,89
2243,0
2251,0
2241,83
2267,0
2245,449
2269,0
2253,751
2273,0
2281,0
2271,757
2287,0
2279,53
2293,0
2283,761
2297,0
2291,79
2309,0
2311,0
2299,19
2333,0
2339,0
2313,257
2341,0
2335,467
2347,0
2351,0
2357,0
2349,29
2371,0
2353,181
2377,0
2359,337
2381,0
2375,19
2383,0
2389,0
2393,0
2399,0
2391,797
2411,0
2395,479
2417,0
2403,89
2423,0
2413,127
2437,0
2419,59
2441,0
2425,97
2447,0
2439,271
2459,0
2443,349
2467,0
2449,79
2473,0
2461,107
2477,0
2469,823
2503,0
2521,0
2479,67
2531,0
2507,109
2539,0
2523,1
